org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,83432,68359,17089,15073,17089,1716
kubernetes,kubernetes/kubernetes,25120,21062,2032,380,1646,139
Automattic,Automattic/wp-calypso,15588,7701,1423,5809,655,227
Microsoft,Microsoft/vscode,13869,9255,175,1286,3153,67
NixOS,NixOS/nixpkgs,13275,8080,1723,2808,664,523
docker,docker/docker,13205,10677,955,298,1275,123
ManageIQ,ManageIQ/manageiq,12683,8427,1942,1975,339,179
dotnet,dotnet/coreclr,11973,9032,1217,933,791,152
dotnet,dotnet/roslyn,11879,9280,881,750,968,118
AJS-development,AJS-development/Ogar-unlimited,11667,9462,104,1268,833,22
dotnet,dotnet/corefx,11532,8847,1092,754,839,134
facebook,facebook/react-native,11146,9225,869,80,972,30
angular,angular/angular,11088,7765,626,1357,1340,186
dotnet,dotnet/cli,10420,7571,612,1173,1064,84
tgstation,tgstation/-tg-station,10215,8531,824,509,351,67
elastic,elastic/elasticsearch,9977,6815,1016,1402,744,138
nodejs,nodejs/node,9347,8016,499,280,552,106
tensorflow,tensorflow/tensorflow,9158,7245,595,428,890,183
servo,servo/servo,9088,7440,895,89,664,26
joomla,joomla/joomla-cms,9022,6945,685,1039,353,139
hashicorp,hashicorp/terraform,8975,6073,753,1384,765,203
Microsoft,Microsoft/TypeScript,8777,6032,489,1103,1153,52
magento,magento/magento2,8527,6879,197,125,1326,83
JuliaLang,JuliaLang/julia,8376,5888,673,1200,615,127
XX-net,XX-net/XX-Net,7872,6496,77,145,1154,29
fastlane,fastlane/fastlane,7438,5750,413,553,722,90
saltstack,saltstack/salt,7078,5226,924,64,864,37
owncloud,owncloud/core,7066,5267,335,754,710,65
cms-sw,cms-sw/cmssw,6942,5732,1093,33,84,30
tgstation,tgstation/tgstation,6820,5464,740,258,358,66
CartoDB,CartoDB/cartodb,6811,2637,619,2870,685,60
Homebrew,Homebrew/homebrew-core,6650,3764,1764,864,258,353
rails,rails/rails,6611,4697,895,618,401,168
eclipse,eclipse/che,6611,3326,508,2581,196,77
hyperledger,hyperledger/fabric,6606,4896,641,514,555,111
keybase,keybase/client,6224,3141,637,2256,190,43
CleverRaven,CleverRaven/Cataclysm-DDA,6186,4399,853,442,492,70
godotengine,godotengine/godot,6162,4591,541,271,759,37
meteor,meteor/meteor,6100,4927,137,478,558,67
ansible,ansible/ansible,6074,4047,572,703,752,127
aspnet,aspnet/EntityFramework,6024,4155,322,814,733,46
grpc,grpc/grpc,5994,4165,758,605,466,84
ParadiseSS13,ParadiseSS13/Paradise,5880,4999,461,193,227,33
cockroachdb,cockroachdb/cockroach,5851,3938,667,751,495,59
TrinityCore,TrinityCore/TrinityCore,5704,4116,175,943,470,93
brave,brave/browser-laptop,5646,3442,212,1004,988,46
mantidproject,mantidproject/mantid,5631,2103,508,2516,504,83
npm,npm/npm,5621,4173,134,344,970,28
eslint,eslint/eslint,5524,4376,318,375,455,66
driftyco,driftyco/ionic,5504,3629,153,708,1014,92
mapbox,mapbox/mapbox-gl-native,5381,2807,442,1624,508,50
ampproject,ampproject/amphtml,5301,3506,595,738,462,114
elastic,elastic/kibana,5248,3789,450,451,558,48
atom,atom/atom,5208,3951,154,505,598,56
getlantern,getlantern/lantern,5196,3426,153,765,852,17
odoo,odoo/odoo,5053,2671,795,1255,332,184
mozilla,mozilla/addons-server,5044,2770,421,1330,523,123
angular,angular/material,4897,3675,345,86,791,17
ParsePlatform,ParsePlatform/parse-server,4857,3668,241,299,649,54
HippieStationCode,HippieStationCode/HippieStation13,4809,4089,299,212,209,41
realm,realm/realm-java,4777,3253,253,918,353,33
caskroom,caskroom/homebrew-cask,4738,1484,1859,1183,212,393
Baystation12,Baystation12/Baystation12,4690,2995,708,620,367,77
influxdata,influxdata/influxdb,4624,2936,337,961,390,62
mattermost,mattermost/platform,4620,2708,715,1028,169,53
RobotLocomotion,RobotLocomotion/drake,4599,3893,264,235,207,35
RocketChat,RocketChat/Rocket.Chat,4528,2768,281,780,699,94
iTXTech,iTXTech/Genisys,4473,3231,198,573,471,52
OpenRCT2,OpenRCT2/OpenRCT2,4450,3048,376,615,411,56
Automattic,Automattic/jetpack,4436,1823,427,1927,259,81
facebook,facebook/react,4398,3373,379,276,370,103
mapsme,mapsme/omim,4306,2342,940,904,120,47
callemall,callemall/material-ui,4275,3381,285,136,473,40
angular,angular/angular-cli,4269,3059,333,265,612,61
duckduckgo,duckduckgo/zeroclickinfo-goodies,4253,3279,376,438,160,110
PX4,PX4/Firmware,4228,2713,475,744,296,57
symfony,symfony/symfony,4184,3221,448,177,338,55
yogstation13,yogstation13/yogstation,4122,3161,317,290,354,39
claroline,claroline/Distribution,4095,1726,308,1615,446,40
HabitRPG,HabitRPG/habitrpg,4084,2566,251,792,475,37
dmlc,dmlc/mxnet,3926,2761,337,300,528,108
Yoast,Yoast/wordpress-seo,3817,2109,283,900,525,49
conda,conda/conda,3794,2511,262,631,390,33
coreos,coreos/etcd,3781,2681,489,351,260,27
elastic,elastic/logstash,3720,2805,310,249,356,28
ArduPilot,ArduPilot/ardupilot,3698,2569,401,533,195,75
vmware,vmware/vic,3697,2265,366,474,592,42
getsentry,getsentry/sentry,3660,1415,449,1561,235,42
mitodl,mitodl/micromasters,3637,1656,252,1421,308,19
cocos2d,cocos2d/cocos2d-x,3624,2589,378,418,239,106
angular,angular/angular.js,3622,2676,236,432,278,105
LMFDB,LMFDB/lmfdb,3592,2268,440,670,214,37
voidlinux,voidlinux/void-packages,3587,1106,311,2005,165,97
ansible,ansible/ansible-modules-core,3583,2467,448,349,319,116
fossasia,fossasia/open-event-orga-server,3568,1697,612,686,573,22
bitcoin,bitcoin/bitcoin,3560,3042,342,68,108,33
wordpress-mobile,wordpress-mobile/WordPress-iOS,3540,1527,372,1416,225,35
electron,electron/electron,3498,2384,279,80,755,28
libretro,libretro/RetroArch,3494,841,186,2295,172,44
hazelcast,hazelcast/hazelcast,3452,2272,392,531,257,63
ansible,ansible/ansible-modules-extras,3395,2490,448,300,157,142
grafana,grafana/grafana,3380,2123,197,274,786,47
department-of-veterans-affairs,department-of-veterans-affairs/vets-website,3371,1226,508,1330,307,41
astropy,astropy/astropy,3351,2837,217,145,152,43
openssl,openssl/openssl,3345,2188,266,794,97,90
prestodb,prestodb/presto,3292,2206,505,428,153,90
aspnet,aspnet/Mvc,3269,2125,158,598,388,37
sequelize,sequelize/sequelize,3266,2527,179,233,327,62
minetest,minetest/minetest,3262,2848,126,108,180,46
TEAMMATES,TEAMMATES/teammates,3237,1606,326,1044,261,44
owncloud,owncloud/client,3164,2472,102,278,312,31
sakaiproject,sakaiproject/sakai,3155,1348,811,908,88,101
metabase,metabase/metabase,3150,1743,247,803,357,20
idaholab,idaholab/moose,3150,2223,323,317,287,53
OpenRA,OpenRA/OpenRA,3139,2364,253,268,254,39
coreos,coreos/rkt,3123,2422,288,211,202,66
ethcore,ethcore/parity,3105,822,461,1601,221,30
EFForg,EFForg/https-everywhere,3105,1470,1126,386,123,85
openwhisk,openwhisk/openwhisk,3077,2107,336,261,373,51
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,3062,1789,975,131,167,117
jhipster,jhipster/generator-jhipster,3058,2279,271,252,256,62
KSP-CKAN,KSP-CKAN/NetKAN,3046,1436,789,746,75,128
stylelint,stylelint/stylelint,3007,2066,216,522,203,43
JabRef,JabRef/jabref,3004,1824,267,688,225,49
camptocamp,camptocamp/ngeo,2988,1409,292,1115,172,29
Tribler,Tribler/tribler,2977,2491,171,147,168,24
Sylius,Sylius/Sylius,2974,1825,472,429,248,74
fish-shell,fish-shell/fish-shell,2970,2274,85,359,252,42
systemd,systemd/systemd,2969,2120,376,194,279,78
Project-OSRM,Project-OSRM/osrm-backend,2956,1296,243,1216,201,26
broadinstitute,broadinstitute/cromwell,2948,1170,209,1286,283,36
PCSX2,PCSX2/pcsx2,2944,2537,76,225,106,26
projecthydra,projecthydra/sufia,2943,1367,363,973,240,30
LLNL,LLNL/spack,2941,2148,325,326,142,69
yiisoft,yiisoft/yii2,2925,2202,227,88,408,36
openshift,openshift/openshift-ansible,2924,2243,285,265,131,53
neo4j,neo4j/neo4j,2902,1229,551,1000,122,75
flutter,flutter/flutter,2874,1741,312,298,523,36
NativeScript,NativeScript/NativeScript,2869,1718,254,579,318,53
wordpress-mobile,wordpress-mobile/WordPress-Android,2867,947,229,1480,211,32
bokeh,bokeh/bokeh,2863,1732,208,575,348,28
ethereum,ethereum/mist,2854,2174,119,194,367,33
angular,angular/angular.io,2838,1626,527,400,285,88
ganga-devs,ganga-devs/ganga,2830,1542,167,977,144,19
ant-design,ant-design/ant-design,2829,1657,138,295,739,38
alphagov,alphagov/specialist-publisher-rebuild,2816,1145,126,696,849,31
spring-projects,spring-projects/spring-boot,2810,1825,173,383,429,56
crystal-lang,crystal-lang/crystal,2797,2140,152,201,304,51
RIOT-OS,RIOT-OS/RIOT,2726,2278,221,155,72,50
KhronosGroup,KhronosGroup/Vulkan-LoaderAndValidationLayers,2703,1378,275,831,219,64
Particular,Particular/docs.particular.net,2699,1037,217,1379,66,74
open-mpi,open-mpi/ompi,2683,2030,233,309,111,48
druid-io,druid-io/druid,2681,1837,405,291,148,53
influxdata,influxdata/telegraf,2658,1567,259,571,261,84
PolarisSS13,PolarisSS13/Polaris,2657,1446,531,473,207,65
hypothesis,hypothesis/h,2649,1094,326,1132,97,22
jruby,jruby/jruby,2645,1286,79,1127,153,40
mapbox,mapbox/mapbox-gl-js,2638,1466,182,726,264,56
MinecraftForge,MinecraftForge/MinecraftForge,2635,2053,195,190,197,44
opentoonz,opentoonz/opentoonz,2630,1984,215,184,247,41
aspnet,aspnet/Docs,2603,1454,303,681,165,105
elastic,elastic/beats,2599,1452,508,467,172,39
zfsonlinux,zfsonlinux/zfs,2598,2169,124,72,233,34
uclouvain,uclouvain/osis,2565,939,339,926,361,29
mozilla,mozilla/tofino,2557,1166,357,771,263,39
HaxeFoundation,HaxeFoundation/haxe,2554,1626,86,484,358,30
xcat2,xcat2/xcat-core,2551,1632,317,333,269,48
actorapp,actorapp/actor-platform,2542,302,95,1719,426,32
chartjs,chartjs/Chart.js,2539,1752,155,217,415,50
rubberduck-vba,rubberduck-vba/Rubberduck,2534,1478,358,351,347,22
acemod,acemod/ACE3,2529,1471,257,657,144,53
zurb,zurb/foundation-sites,2529,1817,226,197,289,54
openscholar,openscholar/openscholar,2523,1254,213,812,244,25
akka,akka/akka,2504,1953,261,78,212,30
CocoaPods,CocoaPods/CocoaPods,2495,1942,63,80,410,20
micropython,micropython/micropython,2492,1582,112,634,164,48
serverless,serverless/serverless,2482,1281,196,644,361,36
realm,realm/realm-cocoa,2481,1577,114,529,261,24
nwjs,nwjs/nw.js,2477,1864,53,187,373,14
composer,composer/composer,2470,1924,86,199,261,48
BVLC,BVLC/caffe,2464,1867,138,100,359,41
emberjs,emberjs/ember.js,2454,1694,317,278,165,59
ngageoint,ngageoint/hootenanny,2454,1303,155,785,211,28
Microsoft,Microsoft/ChakraCore,2444,1826,439,74,105,26
18F,18F/micropurchase,2435,825,269,1151,190,27
hydroshare,hydroshare/hydroshare,2428,1441,90,765,132,30
broadinstitute,broadinstitute/gatk,2425,1381,157,733,154,35
Azure,Azure/azure-powershell,2398,1615,284,257,242,101
esp8266,esp8266/Arduino,2393,1854,76,152,311,39
oppia,oppia/oppia,2385,1847,206,137,195,38
weaveworks,weaveworks/weave,2383,1163,138,915,167,16
Microsoft,Microsoft/vsts-tasks,2379,1155,307,757,160,71
matplotlib,matplotlib/matplotlib,2377,1856,217,127,177,39
galaxyproject,galaxyproject/galaxy,2373,1521,316,333,203,43
keystonejs,keystonejs/keystone,2366,1347,156,654,209,48
weaveworks,weaveworks/scope,2362,1087,206,852,217,31
kubernetes,kubernetes/dashboard,2322,1727,188,269,138,32
neovim,neovim/neovim,2280,1801,225,35,219,17
ponylang,ponylang/ponyc,2277,1103,194,854,126,46
DynamoDS,DynamoDS/Dynamo,2266,1470,315,293,188,43
rackerlabs,rackerlabs/rackspace-how-to,2266,987,389,767,123,51
LigaData,LigaData/Kamanja,2262,832,101,1160,169,36
hashicorp,hashicorp/vault,2258,1094,171,716,277,45
dotnet,dotnet/wcf,2257,1656,222,214,165,26
cleanflight,cleanflight/cleanflight,2257,1795,129,163,170,31
zooniverse,zooniverse/Panoptes-Front-End,2244,1364,214,460,206,39
Homebrew,Homebrew/brew,2232,1699,194,181,158,37
Azure,Azure/azure-quickstart-templates,2230,995,600,532,103,152
mesosphere,mesosphere/marathon,2219,1134,216,633,236,63
mono,mono/MonoGame,2219,1827,132,107,153,37
Particular,Particular/NServiceBus,2212,1464,147,499,102,40
home-assistant,home-assistant/home-assistant,2211,1480,386,155,190,32
cakephp,cakephp/cakephp,2202,1593,195,175,239,40
kubernetes,kubernetes/contrib,2175,1403,356,246,170,68
justarrived,justarrived/just-match-frontend,2171,551,374,964,282,23
webpack,webpack/webpack,2168,1604,62,91,411,33
pingcap,pingcap/tidb,2165,957,283,855,70,35
vatesfr,vatesfr/xo-web,2162,351,191,1489,131,19
numpy,numpy/numpy,2158,1719,152,131,156,70
pachyderm,pachyderm/pachyderm,2155,939,149,840,227,18
angular,angular/material2,2153,1383,237,192,341,41
opensim-org,opensim-org/opensim-core,2148,1133,134,804,77,31
rcbops,rcbops/rpc-openstack,2148,1601,157,262,128,28
Microsoft,Microsoft/RTVS,2147,1222,213,264,448,20
letsencrypt,letsencrypt/boulder,2144,1023,215,788,118,18
bioconda,bioconda/bioconda-recipes,2144,777,592,723,52,106
syncthing,syncthing/syncthing,2141,1200,83,678,180,24
hzuapps,hzuapps/android-labs,2140,592,807,562,179,231
Newawe,Newawe/newawe,2139,1705,61,284,89,25
chef,chef/chef,2138,1034,175,822,107,58
openlayers,openlayers/ol3,2135,1526,158,253,198,38
twbs,twbs/bootstrap,2127,1533,152,108,334,24
sympy,sympy/sympy,2120,1700,153,74,193,43
sandstorm-io,sandstorm-io/sandstorm,2115,1384,232,329,170,23
subutai-io,subutai-io/base,2107,269,416,1250,172,47
commercialhaskell,commercialhaskell/stack,2102,1462,73,284,283,40
halide,halide/Halide,2100,613,216,1211,60,39
strongloop,strongloop/loopback,2098,1514,56,288,240,25
