org,repo,activity,comments,prs,commits,issues,authors
torvalds,torvalds/linux,110174,88125,22031,22049,22031,2235
kubernetes,kubernetes/kubernetes,46630,40916,3476,202,2036,81
Microsoft,Microsoft/vscode,34832,24509,494,2728,7101,94
tgstation,tgstation/tgstation,31989,25469,3076,2104,1340,134
Automattic,Automattic/wp-calypso,22248,9845,2264,9218,921,203
NixOS,NixOS/nixpkgs,21872,12719,2875,5311,967,586
ansible,ansible/ansible,21766,14719,2930,2440,1677,455
tensorflow,tensorflow/tensorflow,19488,15685,1030,735,2038,333
docker,docker/docker,19359,15738,1131,793,1697,167
dotnet,dotnet/corefx,19189,14669,1841,1261,1418,147
nodejs,nodejs/node,18514,14747,1428,1622,717,265
joomla,joomla/joomla-cms,15916,12203,1124,1728,861,95
dotnet,dotnet/roslyn,15873,12253,1171,913,1536,89
cockroachdb,cockroachdb/cockroach,15579,11237,1279,1527,1536,47
hashicorp,hashicorp/terraform,15112,8546,1601,3422,1543,365
dotnet,dotnet/coreclr,15059,11479,1510,1323,747,153
angular,angular/angular,14697,10963,1091,947,1696,82
JuliaLang,JuliaLang/julia,14553,9635,1057,3091,770,115
RobotLocomotion,RobotLocomotion/drake,14484,12260,986,881,357,44
angular,angular/angular-cli,13025,10254,681,389,1701,80
home-assistant,home-assistant/home-assistant,12917,9041,1434,1589,853,251
ethereum,ethereum/go-ethereum,12498,1548,308,223,10419,36
caskroom,caskroom/homebrew-cask,12453,3282,4476,4391,304,627
elastic,elastic/elasticsearch,12394,7233,1080,3128,953,168
saltstack,saltstack/salt,12215,8426,1456,1305,1028,306
cms-sw,cms-sw/cmssw,12214,10476,1255,378,105,106
servo,servo/servo,12086,9858,1134,291,803,42
Homebrew,Homebrew/homebrew-core,12075,7033,2609,2070,363,539
facebook,facebook/react-native,12051,9935,744,82,1290,31
Microsoft,Microsoft/TypeScript,11982,8512,447,1171,1852,62
flutter,flutter/flutter,11727,8157,1238,1168,1164,50
brave,brave/browser-laptop,10937,6895,548,1854,1640,57
ManageIQ,ManageIQ/manageiq,10717,7042,1721,1817,137,125
symfony,symfony/symfony,10581,7926,958,1154,543,160
ParadiseSS13,ParadiseSS13/Paradise,10496,8789,787,539,381,60
nextcloud,nextcloud/server,10341,6615,793,2004,929,96
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,10308,5729,2149,1974,456,1003
openshift,openshift/origin,9818,8314,858,31,615,21
ampproject,ampproject/amphtml,9688,6417,1178,1095,998,128
tootsuite,tootsuite/mastodon,9428,5900,1133,1299,1096,295
elastic,elastic/kibana,9284,5910,1048,1240,1086,61
driftyco,driftyco/ionic,9163,6887,227,634,1415,83
MarlinFirmware,MarlinFirmware/Marlin,9074,7924,391,271,488,50
eclipse,eclipse/che,8999,5500,579,2075,845,56
laravel,laravel/framework,8998,6028,1136,993,841,249
magento,magento/magento2,8972,7255,391,234,1092,127
dart-lang,dart-lang/sdk,8795,4148,69,3310,1268,78
keybase,keybase/client,8552,3452,1068,3545,487,30
LLNL,LLNL/spack,8001,5394,1002,1200,405,84
ant-design,ant-design/ant-design,7942,4969,371,1343,1259,121
rails,rails/rails,7654,4913,914,1301,526,217
librenms,librenms/librenms,7603,5538,835,742,488,92
angular,angular/material2,7509,4980,699,680,1150,71
dotnet,dotnet/cli,7424,5411,529,728,756,61
react-community,react-community/react-navigation,7379,5535,319,491,1034,108
grpc,grpc/grpc,7375,4804,1020,840,711,78
openssl,openssl/openssl,7245,5131,754,902,458,65
fastlane,fastlane/fastlane,7195,4953,595,905,742,122
ElemeFE,ElemeFE/element,7151,4261,501,461,1928,103
mattermost,mattermost/platform,7150,4262,1056,1479,353,61
bitcoin,bitcoin/bitcoin,7131,5775,652,487,217,74
mapbox,mapbox/mapbox-gl-native,7127,3295,680,2482,670,56
docker,docker/docker.github.io,6978,3261,1321,1625,771,355
Microsoft,Microsoft/visualfsharp,6964,5727,441,382,414,38
godotengine,godotengine/godot,6866,4960,536,677,693,87
mantidproject,mantidproject/mantid,6855,2213,580,3515,547,48
ManageIQ,ManageIQ/manageiq-ui-classic,6810,4361,1258,1089,102,98
Automattic,Automattic/jetpack,6792,3523,630,2177,462,113
ARMmbed,ARMmbed/mbed-os,6786,5539,489,492,266,88
Microsoft,Microsoft/CNTK,6786,1644,102,4526,514,87
RocketChat,RocketChat/Rocket.Chat,6769,4092,512,1197,968,71
CartoDB,CartoDB/cartodb,6688,3344,367,2420,557,27
zulip,zulip/zulip,6654,5103,984,119,448,35
department-of-veterans-affairs,department-of-veterans-affairs/caseflow,6641,2242,565,3190,644,38
