activity,comments,prs,commits,issues,author_name
30583,17349,5997,25,7212,(null)
1549,0,0,1549,0,Matt Gaunt
857,0,0,857,0,Paul Irish
684,0,0,684,0,Patrick Hulce
622,0,0,622,0,Eric Bidelman
399,0,0,399,0,Surma
398,0,0,398,0,Mark Dittmer
382,0,0,382,0,Brendan Kenny
301,0,0,301,0,Julian Toledo
296,0,0,296,0,Jeff Posnick
220,0,0,220,0,Lucas Garron
208,0,0,208,0,Jeffrey Posnick
153,0,0,153,0,Jeff Carpenter
141,0,0,141,0,Rob Dodson
132,0,0,132,0,Prateek Bhatnagar
125,0,0,125,0,DevTools Bot
108,0,0,108,0,Andrey Lushnikov
103,0,0,103,0,Sam Saccone
98,0,0,98,0,Ward Peeters
97,0,0,97,0,Philip Walton
93,0,0,93,0,samhincks
93,0,0,93,0,Paul Lewis
85,0,0,85,0,Joseph Medley
81,0,0,81,0,Michael Cheung
81,0,0,81,0,Travis CI
80,0,0,80,0,Sam Thorogood
79,0,0,79,0,Hongchan Choi
76,0,0,76,0,Kayce Basques
72,0,0,72,0,Asanka Herath
70,0,0,70,0,Andre Bandarra
69,0,0,69,0,XhmikosR
67,0,0,67,0,Joe Medley
55,0,0,55,0,François Beaufort
48,0,0,48,0,Mat Scales
44,0,0,44,0,JoelEinbinder
39,0,0,39,0,Addy Osmani
29,0,0,29,0,Maksim Ivanov
24,0,0,24,0,Artem Denysov
22,0,0,22,0,Will Chen
18,0,0,18,0,Sebastian Benz
18,0,0,18,0,Vse Mozhet Byt
18,0,0,18,0,Wei-Yin Chen (陳威尹)
17,0,0,17,0,Robert Flack
17,0,0,17,0,Allen Vicencio
17,0,0,17,0,Sam Li
16,0,0,16,0,Renaud Paquay
15,0,0,15,0,Monica Dinculescu
14,0,0,14,0,Eric Lawrence
13,0,0,13,0,Robert Kroeger
12,0,0,12,0,Asanka C. Herath
12,0,0,12,0,WeiweiAtGit
12,0,0,12,0,Paul Kinlan
12,0,0,12,0,Vinamrata Singal
9,0,0,9,0,greenkeeper[bot]
9,0,0,9,0,jing
8,0,0,8,0,Ewa Gasperowicz
8,0,0,8,0,Ram Lmn
8,0,0,8,0,Eiji Kitamura
8,0,0,8,0,Francois Beaufort
8,0,0,8,0,Michael Stillwell
8,0,0,8,0,Dan Dascalescu
7,0,0,7,0,Jason Chase
7,0,0,7,0,Konrad Dzwinel
7,0,0,7,0,Raymond Toy
7,0,0,7,0,Nick Olinger
7,0,0,7,0,Sendil Kumar N
7,0,0,7,0,Sérgio Gomes
7,0,0,7,0,Artur Mizera
7,0,0,7,0,YongWoo Jeon
7,0,0,7,0,Fernando Toledo
7,0,0,7,0,Samuel Hincks
7,0,0,7,0,Piper Chester
7,0,0,7,0,Michael Stramel
7,0,0,7,0,mustafa
6,0,0,6,0,James Burton
6,0,0,6,0,Jonathan Garbee
6,0,0,6,0,Jan Potoms
6,0,0,6,0,allada
6,0,0,6,0,lushnikov
5,0,0,5,0,Even Stensberg
5,0,0,5,0,Nghia Nguyen
4,0,0,4,0,Katie Hempenius
4,0,0,4,0,Meggin Kearney
4,0,0,4,0,chenwilliam
4,0,0,4,0,Pavel Feldman
4,0,0,4,0,Andrew Grieve
4,0,0,4,0,Ian Kilpatrick
4,0,0,4,0,Christian Davis
4,0,0,4,0,npm-publish-script
4,0,0,4,0,Rouslan Solomakhin
4,0,0,4,0,Mustafa Kurtuldu
4,0,0,4,0,Philip Jägenstedt
4,0,0,4,0,Emanuele Mazzotta
4,0,0,4,0,alph
4,0,0,4,0,Kevin Jones
4,0,0,4,0,Adi Prasetyo
3,0,0,3,0,Jimmy Moon
3,0,0,3,0,Weiwei Lin
3,0,0,3,0,Brian Kardell
3,0,0,3,0,Tim van der Lippe
3,0,0,3,0,PhistucK
3,0,0,3,0,Mike Deverell
3,0,0,3,0,Jason Liu
3,0,0,3,0,Mathieu Perreault
3,0,0,3,0,Alice Boxhall
3,0,0,3,0,Pete LePage
3,0,0,3,0,Artur M
3,0,0,3,0,Kunihiko Sakamoto
3,0,0,3,0,Michael Hablich
3,0,0,3,0,Chiara Chiappini
3,0,0,3,0,John Resig
3,0,0,3,0,Jan Wilken Dörrie
3,0,0,3,0,Mohsen Azimi
3,0,0,3,0,Andrew Allen
3,0,0,3,0,Sam Dutton
3,0,0,3,0,Chris Howse
2,0,0,2,0,Christian Oliff
2,0,0,2,0,Jason Etcovitch
2,0,0,2,0,lokson
2,0,0,2,0,Lorenzo Urbini
2,0,0,2,0,Cedric Bellet
2,0,0,2,0,April King
2,0,0,2,0,Ryan Sleevi
2,0,0,2,0,Larry LA Ca
2,0,0,2,0,Mark Goho
2,0,0,2,0,Mark Foltz (Google)
2,0,0,2,0,mizdra
2,0,0,2,0,Remexllee
2,0,0,2,0,Arthur Evans
2,0,0,2,0,Joseph Werle
2,0,0,2,0,LaySent
2,0,0,2,0,Shantanu Raj
2,0,0,2,0,Alex Vallée
2,0,0,2,0,Mathias Fredriksson
2,0,0,2,0,Dan Carley
2,0,0,2,0,Oliver Dunk
2,0,0,2,0,Henrik Joreteg
2,0,0,2,0,Tasos Bekos
2,0,0,2,0,Will Farley
2,0,0,2,0,Malets
2,0,0,2,0,jeffcarp
2,0,0,2,0,Sam Verschueren
2,0,0,2,0,Ludovic Rousseau
2,0,0,2,0,Rajika Imal
2,0,0,2,0,Alexander Horn
2,0,0,2,0,Chandan Rai
2,0,0,2,0,John Papa
2,0,0,2,0,Alexis Menard
2,0,0,2,0,Daniel Schneider
2,0,0,2,0,Aleksey Kulikov
2,0,0,2,0,sleevi
2,0,0,2,0,Artur Diniz Adam
2,0,0,2,0,Rick Viscomi
2,0,0,2,0,karolklp
2,0,0,2,0,Adam Rice
2,0,0,2,0,Jennifer Apacible
2,0,0,2,0,Maciej Kasprzyk
2,0,0,2,0,Owen Campbell-Moore
