org,repo,activity,comments,prs,commits,issues,authors
kubernetes,kubernetes/kubernetes,166678,138000,14867,1043,12768,262
grpc,grpc/grpc,29416,18513,5514,2190,3199,169
kubernetes,kubernetes/test-infra,15800,8406,4536,2030,828,132
kubernetes,kubernetes/kubernetes.github.io,15471,7028,4565,2310,1568,656
kubernetes,kubernetes/kops,12414,6808,2509,1034,2063,127
kubernetes,kubernetes/contrib,10190,6920,1817,476,977,114
coreos,coreos/rkt,8581,5874,1336,574,797,118
kubernetes,kubernetes/helm,8470,4282,1723,832,1633,141
kubernetes,kubernetes/minikube,8163,4771,1590,701,1101,98
prometheus,prometheus/prometheus,8104,5152,993,850,1109,110
kubernetes,kubernetes/dashboard,7854,4908,1254,789,903,68
grpc,grpc/grpc-java,6579,3623,1475,665,816,47
kubernetes,kubernetes/charts,5590,3375,1395,546,274,136
kubernetes-incubator,kubernetes-incubator/service-catalog,4997,3123,984,412,478,37
fluent,fluent/fluentd,4755,2413,760,1053,529,56
kubernetes,kubernetes/community,4159,2518,966,574,101,179
kubernetes,kubernetes/ingress,4119,2528,761,314,516,71
kubernetes-incubator,kubernetes-incubator/kargo,3741,1674,995,658,414,65
kubernetes,kubernetes/heapster,3542,2395,524,186,437,78
kubernetes-incubator,kubernetes-incubator/cri-o,3516,2469,567,258,222,34
grpc,grpc/grpc-go,2808,1559,599,230,420,54
prometheus,prometheus/alertmanager,2761,1604,356,401,400,39
docker,docker/containerd,2689,1494,726,319,150,71
kubernetes-incubator,kubernetes-incubator/kompose,2644,1710,442,187,305,17
kubernetes,kubernetes/features,2631,1895,235,275,226,48
coreos,coreos/coreos-kubernetes,2573,1630,392,139,412,57
prometheus,prometheus/node_exporter,2433,1468,359,312,294,51
kubernetes-incubator,kubernetes-incubator/bootkube,2292,1328,500,255,209,30
kubernetes,kubernetes/kubeadm,1877,1450,16,4,407,3
coreos,coreos/prometheus-operator,1759,987,347,194,231,25
prometheus,prometheus/docs,1651,709,510,341,91,104
kubernetes,kubernetes/release,1560,778,427,200,155,31
linkerd,linkerd/linkerd,1538,542,288,429,279,20
grpc,grpc/grpc.github.io,1480,617,471,264,128,79
fluent,fluent/fluent-bit,1461,500,231,602,128,8
kubernetes-incubator,kubernetes-incubator/kube-aws,1327,857,187,97,186,21
kubernetes,kubernetes/kubernetes-anywhere,1300,703,276,118,203,20
kubernetes,kubernetes/kube-deploy,1272,656,328,140,148,23
kubernetes,kubernetes/client-go,1236,861,134,46,195,12
kubernetes-incubator,kubernetes-incubator/client-python,1132,524,211,223,174,7
kubernetes-incubator,kubernetes-incubator/external-dns,1066,458,236,283,89,13
opentracing,opentracing/opentracing-java,944,582,133,175,54,26
prometheus,prometheus/snmp_exporter,919,598,113,81,127,24
prometheus,prometheus/client_java,818,510,147,82,79,29
kubernetes,kubernetes/node-problem-detector,789,518,134,64,73,15
prometheus,prometheus/client_golang,788,444,106,157,81,24
opentracing,opentracing/specification,729,575,36,58,60,9
kubernetes,kubernetes/kube-state-metrics,724,408,157,78,81,25
kubernetes,kubernetes/frakti,684,315,212,91,66,12
vmware,vmware/kubernetes,630,218,21,227,164,58
