org,repo,from,to,activity,comments,prs,commits,issues,authors,pushes
gitlab,gitlab/GitLab,2016-05-01,2017-05-01,50000,40000,7336,16291,14430,589,0
gitlab,gitlab/GitLab,2016-06-01,2017-06-01,50000,40000,7430,16574,14640,575,0
gitlab,gitlab/GitLab,2016-11-01,2017-11-01,50000,40000,7600,16874,15600,580,0
gitlab,gitlab/GitLab,2017-01-01,2018-01-01,50000,40000,7600,15726,14648,538,0
gitlab,gitlab/GitLab,2017-03-01,2018-03-01,48000,39000,7830,15651,14400,513,0
gitlab,gitlab/GitLab,2017-04-01,2018-04-01,45000,38000,7640,15291,14110,432,0
gitlab,gitlab/GitLab,2017-06-01,2018-06-01,44000,37000,7624,15043,13723,503,0
gitlab,gitlab/GitLab,2017-08-01,2018-08-01,43000,36000,7780,14348,13520,522,0
gitlab,gitlab/GitLab,2017-11-01,2018-11-01,47550,39500,7860,16384,14150,520,0
gitlab,gitlab/GitLab,2018-04-01,2019-04-01,48000,38000,8436,12271,14205,724,0
