org,repo,from,to,changesets,additions,removals,authors,emails
torvalds,torvalds/linux,1980-01-01,2017-06-01,627853,45209902,21066683,15296,2689795
torvalds,torvalds/linux,2015-01-01,2015-02-01,4451,181665,104402,847,22022
torvalds,torvalds/linux,2015-02-01,2015-03-01,2926,91242,49593,719,17239
torvalds,torvalds/linux,2015-03-01,2015-04-01,4774,172360,94142,878,24936
torvalds,torvalds/linux,2015-04-01,2015-05-01,3128,99332,68241,675,19692
torvalds,torvalds/linux,2015-05-01,2015-06-01,4454,234129,96968,821,24208
torvalds,torvalds/linux,2015-06-01,2015-07-01,3850,176449,72809,780,19969
torvalds,torvalds/linux,2015-07-01,2015-08-01,3714,151235,59406,825,23560
torvalds,torvalds/linux,2015-08-01,2015-09-01,3736,179887,117362,781,19183
torvalds,torvalds/linux,2015-09-01,2015-10-01,4034,114601,67376,788,20981
torvalds,torvalds/linux,2015-10-01,2015-11-01,5201,249443,110768,872,24079
torvalds,torvalds/linux,2015-11-01,2015-12-01,3363,107357,82099,739,21055
torvalds,torvalds/linux,2015-12-01,2016-01-01,3550,204199,62898,750,19816
torvalds,torvalds/linux,2016-01-01,2016-02-01,3109,110750,46930,719,17625
torvalds,torvalds/linux,2016-02-01,2016-03-01,4808,160589,103596,859,24184
torvalds,torvalds/linux,2016-03-01,2016-04-01,4036,160881,103596,855,23424
torvalds,torvalds/linux,2016-04-01,2016-05-01,4231,145378,66485,844,23511
torvalds,torvalds/linux,2016-05-01,2016-06-01,3583,127116,58442,755,19751
torvalds,torvalds/linux,2016-06-01,2016-07-01,4360,251350,85670,829,25277
torvalds,torvalds/linux,2016-07-01,2016-08-01,3828,177484,157688,693,18729
torvalds,torvalds/linux,2016-08-01,2016-09-01,4370,186266,87114,848,22252
torvalds,torvalds/linux,2016-09-01,2016-10-01,4790,208104,203624,927,21098
torvalds,torvalds/linux,2016-10-01,2016-11-01,3752,231180,74384,765,19609
torvalds,torvalds/linux,2016-11-01,2016-12-01,4907,282669,111134,918,21870
torvalds,torvalds/linux,2016-12-01,2017-01-01,2532,107433,43163,677,15823
torvalds,torvalds/linux,2017-01-01,2017-02-01,4590,184166,101107,942,23183
torvalds,torvalds/linux,2017-02-01,2017-03-01,3853,207218,79510,802,19559
torvalds,torvalds/linux,2017-03-01,2017-04-01,4802,566700,77319,885,25409
torvalds,torvalds/linux,2017-04-01,2017-05-01,4072,220420,86196,836,19974
torvalds,torvalds/linux,2015-01-01,2015-04-01,14972,554673,312119,1698,64197
torvalds,torvalds/linux,2015-04-01,2015-07-01,14769,1099550,301328,1643,63869
torvalds,torvalds/linux,2015-07-01,2015-10-01,14351,635721,298045,1705,63724
torvalds,torvalds/linux,2015-10-01,2016-01-01,15282,689190,327250,1692,64950
torvalds,torvalds/linux,2016-01-01,2016-04-01,15920,602912,374124,1771,65233
torvalds,torvalds/linux,2016-04-01,2016-07-01,15073,652911,273184,1716,68359
torvalds,torvalds/linux,2016-07-01,2016-10-01,15835,709179,528004,1766,62079
torvalds,torvalds/linux,2016-10-01,2017-01-01,13638,755982,270523,1698,57302
torvalds,torvalds/linux,2017-01-01,2017-04-01,16034,1266306,304548,1870,68151
torvalds,torvalds/linux,2014-01-01,2015-01-01,66834,2757381,1833792,3481,233633
torvalds,torvalds/linux,2015-01-01,2016-01-01,66836,3357530,1415574,3744,256740
torvalds,torvalds/linux,2016-01-01,2017-01-01,67655,3172477,1599618,3744,252793
torvalds,torvalds/linux,2016-05-01,2017-05-01,67867,3957138,1550506,3865,252324
torvalds,torvalds/linux,2015-01-01,2017-05-01,162435,8498225,3560465,6721,597838
torvalds,torvalds/linux,2017-01-01,2017-05-01,22049,1682697,422200,2235,88125
torvalds,torvalds/linux,2016-04-01,2017-04-01,67734,3755374,1534840,3809,255891
torvalds,torvalds/linux,2017-05-01,2017-06-01,1315,26016,15035,456,22110
torvalds,torvalds/linux,2016-06-01,2017-06-01,64587,3792096,1522754,3814,254893
