name,project
Ar1i/PokemonGo-Bot,PokemonGoF
CartoDB,CARTO
Plailect/Guide,3DS Guide
ampproject,AMP Project
ansible,Ansible
ant-design,Ant Design
aspnet,ASP.net
brave,Brave Software
caskroom,Homebrew Cask
cockroachdb,Cockroach DB
d3athrow/vgstation13,vgstation13
department-of-veterans-affairs,Department of Veterans Affairs
driftyco,Ionic
eclipse,Eclipse
elastic,Elasticsearch
ethereum,Ethereum
facebook,Facebook
grpc,GRPC
joomla,Joomla
kubernetes,Kubernetes
magento,Magento
mozilla,Mozilla
nodejs,Node.js
openshift,OpenShift
owncloud,ownCloud
palantir,Palantir Technologies
saltstack,SaltStack
tgstation,SS13
vmware,VMware
