project,url
18F C2,cap.18f.gov
18F CALC,calc.gsa.gov
18F Federal Election Commision,api.open.fec.gov/developers
18F Handbook,handbook.18f.gov
18F Identity Provider,secure.login.gov
18F Website,18f.gsa.gov
3DS Guide,3ds.guide
A11y,onosproject.org
ACE,microsoft.github.io/ace
ACE Mod,acemod.com
AGL,www.automotivelinux.org
AMP,ampproject.org
ASP.net,asp.net
ASP.net Docs,docs.microsoft.com/en-us/aspnet/core
AWS SDKs,aws.amazon.com
Accessible Rich Internet Applications,w3.org/WAI/ARIA
ActiveShipping,shopify.github.io/active_shipping
Activity Campaign site,activate.mozilla.community
Addons-Server,addons.mozilla.org
AirSim,github.com/Microsoft/AirSim
Airflow,airflow.incubator.apache.org
Akka,akka.io
Alibaba,alibaba.com
Alluxio,github.com/Alluxio
Amazon Web Services,aws.amazon.com
Angular,angular.io
Ansible,ansible.com
Ant Design,ant.design
Apache (other),apache.org
Apache Ambari,ambari.apache.org
Apache Beam,beam.apache.org
Apache Camel,camel.apache.org
Apache CarbonData,carbondata.apache.org
Apache Cassandra,cassandra.apache.org
Apache CloudStack,cloudstack.apache.org
Apache Flink,flink.apache.org
Apache Geode,geode.apache.org
Apache HBase,hbase.apache.org
Apache HTTP Server,httpd.apache.org
Apache Hadoop,hadoop.apache.org/core
Apache Hive,hive.appache.org
Apache Ignite,ignite.apache.org
Apache Kafka,kafka.apache.org
Apache Kylin,kylin.apache.org
Apache Lucene/Solr,git.apache.org/lucene-solr.git
Apache Mesos,mesos.apache.org
Apache NiFi,nifi.apache.org
Apache Spark,spark.apache.org
Apache Storm,storm.apache.org
Apache Thrift,thrift.apache.org
Apache Traffic Server,trafficserver.apache.org
Apache Trafodion,git.apache.org/incubator-trafodion.git
Apache Zeppelin,zeppelin.apache.org
ArduPilot,ardupilot.org
Assignment Simulaton Repository,github.com/fa16scmorg/FA16SCM
AtlasDB,palantir.github.io/atlasdb
Atom,atom.io
Auth0,auth0.com
Automattic Jetpack,jetpack.com
Automattic WooCommerce,github.com/Automattic/woocommerce-services
Azure,azure.github.io
Azure SDKs,azure.microsoft.com
BOSH,bosh.io
BashOnWindows,microsoft.com/en-us/commandline/wsl
Baystation12,baystation12.net
Betaflight,github.com/betaflight/betaflight/releases
Blockly,developers.google.com/blockly
Bond,github.com/Microsoft/bond
Boost,boost.org
Brackets,brackets.io
Brave Software,brave.com
Broad Institute,broadinstitute.org
CARTO,carto.com
CKAN,ksp-ckan.org
CMS Offline Software,cms-sw.github.io
CNCF,www.cncf.io
CNI,github.com/containernetworking
CORD,opencord.org
CSS-TAG Houdini Editor Drafts,drafts.css-houdini.org
Caffe,github.com/Microsoft/caffe
CakePHP,cakephp.org
Campaign finance for everyone,beta.fec.gov/data
Capirca,github.com/google/capirca
Carrier Grade Linux,wiki.linuxfoundation.org/cgl/start
Caseflow,va.gov
Cataclysm-DDA,en.cataclysmdda.com
Checked C,microsoft.com/en-us/research/project/checked-c
Chef,chef.io/chef
Choosealicense.com,choosealicense.com
Chromium,google.com/chrome
Chromium Blink,chromium.org/blink
Civil Infrastructure Platform,www.cip-project.org
Closure Library,code.google.com/closure/library
Cloud Foundry,cloudfoundry.org
Cloud Foundry Dashboard,dashboard.fr.cloud.gov
Cloud.gov,github.com/18F/cg-product
Cockroach Labs,cockroachlabs.com
Cocos2d-js,cocos2d-x.org
Cocos2d-x,cocos2d-x.org
Code Aurora,www.codeaurora.org
CodeCombat,codecombat.com
CodePush,codepush.tools
Computing for Computer Scientists,c4cs.github.io
Consul,consul.io
Consumer Financial Protection Bureau,cfpb.github.io
Core Infrastructure,www.coreinfrastructure.org
CoreDNS,coredns.io
CoreOS,coreos.com
Corsica,corsica.mozilla.io
CyanogenMod,cyanogenmod.com
DMLC,dmlc.github.io
DSC,msdn.microsoft.com/en-us/powershell/dsc/overview
DXR,dxr.readthedocs.org
Dagger 2,google.github.io/dagger
Dart,dartlang.org
Datadog,datadog.com
DefinitelyTyped,definitelytyped.org
Digital Transformation Office,dta.gov.au
