project,url,label,activity,comments,prs,commits,issues,authors,sum_activity,sum_comments,sum_prs,sum_commits,sum_issues,sum_authors
Linux kernel,kernel.org,2016-01,20734,17625,4406,3109,4406,719,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-02,49726,41809,10452,7917,10452,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-03,77186,65233,16308,11953,16308,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-04,104928,88744,22185,16184,22185,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-05,128262,108495,27122,19767,27122,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-06,157899,133772,33441,24127,33441,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-07,180456,152501,38123,27955,38123,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-08,207078,174753,43686,32325,43686,859,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-09,232966,195851,48960,37115,48960,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-10,256327,215460,53862,40867,53862,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-11,283104,237330,59329,45774,59329,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2016-12,301459,253153,63284,48306,63284,927,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-01,329232,276336,69079,52896,69079,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-02,352644,295895,73968,56749,73968,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-03,382855,321304,80320,61551,80320,942,406901,341278,85313,65623,85313,942
Linux kernel,kernel.org,2017-04,406901,341278,85313,65623,85313,942,406901,341278,85313,65623,85313,942
dotnet,microsoft.com/net,2016-01,8190,5933,779,760,718,158,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-02,17975,12876,1652,1908,1539,172,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-03,28464,20167,2776,3148,2373,198,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-04,38667,27336,3776,4233,3322,198,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-05,49316,35027,4784,5283,4222,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-06,59410,42191,5805,6381,5033,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-07,67401,47877,6570,7277,5677,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-08,75714,53666,7445,8249,6354,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-09,83174,58934,8288,8905,7047,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-10,92058,64994,9408,9900,7756,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-11,101720,71748,10512,10980,8480,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2016-12,109552,77269,11402,11765,9116,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-01,119008,83789,12551,12822,9846,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-02,128967,90753,13708,13956,10550,265,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-03,141365,99376,15121,15344,11524,268,158624,111553,17019,17221,12831,382
dotnet,microsoft.com/net,2017-04,158624,111553,17019,17221,12831,382,158624,111553,17019,17221,12831,382
Kubernetes,kubernetes.io,2016-01,6289,5211,548,199,331,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-02,13021,10620,1180,360,861,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-03,20549,16537,1879,635,1498,73,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-04,28540,22933,2654,851,2102,97,176662,137799,18499,8693,11671,373
Kubernetes,kubernetes.io,2016-05,38055,30389,3593,1258,2815,176,176662,137799,18499,8693,11671,373
