org,repo,activity,comments,prs,commits,issues,authors,project,url
Azure,azure-content+azure-iot-sdks+azure-powershell+autorest+azure-sdk-for-net,3025,1432,582,813,198,214,Azure,azure.github.io
DefinitelyTyped,DefinitelyTyped,1572,849,361,281,81,196,DefinitelyTyped,definitelytyped.org
angular+angular-ui+AngularClass,angular+material+angular.js+angular-cli+ui-grid+angular.io+angular2-webpack-starter,8422,5697,494,1146,1085,182,Angular,angular.io
NixOS,nixpkgs,3862,2300,502,732,328,178,NixOS,nixos.org
dotnet,corefx+cli+coreclr+wcf+buildtools+docfx+roslyn-analyzers,9785,6943,873,1148,821,172,dotnet,microsoft.com/net
dotnet+Microsoft,roslyn+vscode+vso-agent-tasks+vscode-docs+msbuild+MIEngine,9613,6360,605,1095,1553,133,VS Code,code.visualstudio.com
aspnet,EntityFramework+Mvc+Docs+Performance+Universe+Configuration+Identity,3417,2040,252,746,379,126,ASP.net,asp.net
Homebrew,homebrew+homebrew-science,3225,1980,784,277,184,124,Homebrew,brew.sh
docker,docker+swarm+compose+distribution+libnetwork,8511,6714,668,342,787,121,Docker,mobyproject.org
facebook,react+presto+draft-js+AsyncDisplayKit+rocksdb,3225,2056,400,411,358,118,React,facebook.com
elastic,elasticsearch+kibana+beats+elasticsearch-net,5916,3974,549,785,608,108,Elasticsearch,elastic.co/products/elasticsearch
Automattic,wp-calypso,5757,2670,509,2302,276,88,WP Calypso,developer.wordpress.com/calypso
rails,rails,2701,1860,377,256,208,82,Ruby on Rails,rubyonrails.org
mozilla,addons-server+olympia,1318,672,115,383,148,81,Mozilla,mozilla.org
ocaml,opam-repository,1061,457,316,269,19,73,OPAM,opam.ocaml.org
openshift,openshift-ansible+openshift-docs,1650,1020,275,281,74,72,OpenShift,openshift.com
kubernetes,kubernetes+heapster,6732,5409,632,161,530,72,Kubernetes,kubernetes.io
hashicorp,terraform,2698,1898,202,321,277,65,Terraform,terraform.io
ManageIQ,manageiq,3075,2001,540,419,115,65,ManageIQ,manageiq.org
chef,chef+chef-dk+chef-server,1378,744,131,427,76,62,Chef,chef.io/chef
ansible,ansible+ansible-modules-core+ansible-modules-extras,3912,2747,400,257,508,61,Ansible,ansible.com
odoo,odoo,1668,781,299,414,174,58,Odoo,odoo.com
influxdata,influxdb+docs.influxdata.com,2266,1403,175,442,246,57,InfluxData,influxdata.com
tgstation,-tg-station,5031,4068,400,346,217,56,SS13,tgstation13.org
magento,magento2+devdocs,2052,1391,81,231,349,56,Magento,magento.com/home
mamedev,mame,828,175,62,580,11,55,MAME,mamedev.org
eclipse,che+smarthome+ice,2726,1424,245,804,253,54,Eclipse,eclipse.org
cakephp,cakephp+docs,1261,775,155,211,120,51,CakePHP,cakephp.org
atom,atom+electron,3324,2278,175,341,530,48,Atom,atom.io
Particular,NServiceBus+docs.particular.net,1205,763,95,284,63,47,NServiceBus,particular.net/nservicebus
CartoDB,cartodb+cartodb.js+deep-insights.js,2209,862,238,867,242,46,CARTO,carto.com
JuliaLang,julia,2549,1817,185,367,180,44,Julia,julialang.org
airbnb,airflow+enzyme,1136,716,124,177,119,44,Airbnb,airbnb.io
guardian,frontend,2043,759,336,916,32,43,The Guardian,theguardian.com
dmlc,mxnet+xgboost,1312,960,93,79,180,43,Distributed Machine Learning Community,dmlc.github.io
letsencrypt,letsencrypt+boulder,2031,1116,187,537,191,42,Let's Encrypt,letsencrypt.org
cloudfoundry,bosh,415,106,11,274,24,42,Cloud Foundry,cloudfoundry.org
grpc,grpc+grpc-java,2257,1382,364,301,210,41,GRPC,grpc.io
openwrt,packages,461,268,84,77,32,40,OpenWrt,openwrt.org
mapbox,mapbox-gl-native+mapbox-gl-js,2319,1251,148,619,301,40,Mapbox,mapbox.com
e-government-ua,i,1314,183,12,1071,48,40,Основной репозиторий,igov.org.ua
nodejs,node+nodejs.org,3060,2616,170,90,184,39,Node.js,nodejs.org
joomla,joomla-cms,1316,1037,69,127,83,38,Joomla,joomla.org
voidlinux,void-packages,1309,319,205,749,36,37,The Void distribution,voidlinux.eu
greenplum-db,gpdb,761,508,108,120,25,37,greenplum-db,""
ampproject,amphtml,2041,1346,197,256,242,37,AMP,ampproject.org
