org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,84185,68151,17037,16034,17037,1870,Linux kernel,kernel.org
kubernetes+kubernetes-incubator,kubernetes+kubernetes.github.io+test-infra+charts+kops+service-catalog+ingress+helm+kargo+minikube+heapster+bootkube,50142,38932,5182,3073,2955,722,Kubernetes,kubernetes.io
DefinitelyTyped,DefinitelyTyped,7241,4167,1564,1175,335,626,DefinitelyTyped,definitelytyped.org
Homebrew,homebrew-core+homebrew-science+brew+homebrew-php,12183,6931,2538,2130,584,558,Homebrew,brew.sh
dotnet,corefx+coreclr+cli+sdk+docs+core-setup+corert+corefxlab+core,38814,28570,3784,3663,2797,537,dotnet,microsoft.com/net
NixOS,nixpkgs,15396,8854,2225,3610,707,452,NixOS,nixos.org
Azure,azure-cli+azure-rest-api-specs+azure-powershell+acs-engine+autorest+azure-sdk-for-net+azure-quickstart-templates+azure-xplat-cli,12868,7649,2134,1890,1195,442,Azure,azure.github.io
caskroom,homebrew-cask,7199,1709,2893,2388,209,423,Homebrew Cask,caskroom.github.io
docker,docker+docker.github.io+compose+docker-py,19930,13926,1943,1711,2350,406,Docker,mobyproject.org
home-assistant,home-assistant+home-assistant.github.io,10779,7138,1622,1336,683,406,Home Assistant,home-assistant.io
mozilla,addons-server+thimble.mozilla.org+addons-frontend+testpilot+brackets,13501,7326,893,4071,1211,387,Mozilla,mozilla.org
react-community+facebookincubator+facebook+airbnb+react-native-community,react-navigation+create-react-app+react+jest+AsyncDisplayKit+react-native-maps+reason+osquery+immutable-js+draft-js+react-dates+react-native-elements,21965,15334,1924,2166,2541,371,React,facebook.com
ansible,ansible+ansibullbot,16369,10903,2378,1780,1308,334,Ansible,ansible.com
tensorflow,tensorflow+models,16766,13273,960,693,1840,319,TensorFlow,tensorflow.org
angular+AngularClass,angular+angular-cli+material2+material+angular2-webpack-starter+angular.io,28217,20421,2023,1800,3973,292,Angular,angular.io
Microsoft+dotnet,vscode+roslyn+vsts-tasks+roslyn-project-system+msbuild+vcpkg,38390,26551,2058,3195,6586,265,VS Code,code.visualstudio.com
nodejs,node,9364,7183,757,944,480,194,Node.js,nodejs.org
driftyco,ionic+ionic-native+ionic-site,7729,4718,315,1426,1270,191,Ionic,ionicframework.com
ManageIQ,manageiq+manageiq-ui-classic,13046,8668,2233,1954,191,189,ManageIQ,manageiq.org
Automattic,wp-calypso,16624,7503,1714,6748,659,177,WP Calypso,developer.wordpress.com/calypso
aspnet,EntityFramework+Docs+Mvc,9238,5453,873,1970,942,167,ASP.net,asp.net
magento,magento2+devdocs,7819,5926,329,677,887,167,Magento,magento.com/home
webpack,webpack+webpack.js.org,6626,4197,857,974,598,166,webpack,github.com/webpack
dmlc,mxnet+xgboost,6150,4109,532,569,940,165,DMLC,dmlc.github.io
elastic,elasticsearch+kibana+beats,14994,9208,1733,2432,1621,163,Elasticsearch,elastic.co/products/elasticsearch
rails,rails+webpacker,5839,3941,771,666,461,158,Ruby on Rails,rubyonrails.org
odoo,odoo,4510,2169,846,1114,381,154,Odoo,odoo.com
hashicorp,terraform,8998,5368,1036,1476,1118,137,Terraform,terraform.io
