project name, project website, project git repo,comments,
AllJoyn,https://wiki.alljoyn.org,https://github.com/alljoyn,,
Automotive Grade Linux,https://www.automotivelinux.org,https://github.com/automotive-grade-linux/docs-agl,,
Carrier Grade Linux,https://wiki.linuxfoundation.org/cgl/start,https://github.com/joeythesaint/cgl-specification,,
CHAOSS,https://chaoss.community,https://github.com/OSSHealth/ResearchProject,not sure,
Civil Infrastructure Platform,https://www.cip-project.org,https://github.com/cip-project,,
Cloud Foundry,https://www.cloudfoundry.org,https://github.com/cloudfoundry,,
Cloud Native Computing Foundation,https://www.linuxfoundation.org/projects/,https://github.com/cncf,,
CNI,https://github.com/containernetworking/cni,https://github.com/containernetworking/cni,,
Code Aurora,https://www.codeaurora.org,https://github.com/codeaurora-unofficial,,
container d,http://containerd.io,https://github.com/containerd/containerd,,
CORD,http://opencord.org,https://github.com/opencord/cord,,
Core Embedded Linux Project,https://www.linuxfoundation.org,https://github.com/torvalds/linux,skip in velocity,
Core Infrastructure Initiative,https://www.coreinfrastructure.org,https://github.com/coreinfrastructure,,
CoreDNS,https://coredns.io,https://github.com/cncf/cross-cloud,,
cregit,https://cregit.linuxsources.org,https://github.com/cregit/cregit,,
DiaMon Workgroup,http://diamon.org,https://github.com/diamon/diamon-www-data,,
DPDK,http://dpdk.org,http://dpdk.org/git/dpdk,not a github,
Dronecode,https://www.dronecode.org,https://github.com/Dronecode,,
EdgeX Foundry,https://www.edgexfoundry.org,https://github.com/edgexafoundry,,
FD.io,https://fd.io,https://github.com/fdio-stack,,
Fluentd,https://www.fluentd.org,https://github.com/fluent,,
FOSSology,https://www.fossology.org,https://github.com/fossology,,
FRRouting,https://frrouting.org,https://github.com/frrouting,,
gRPC,http://www.grpc.io,https://github.com/grpc,,
Hyperledger,https://www.hyperledger.org,https://github.com/hyperledger,,
IO Visor Project,https://www.iovisor.org,https://github.com/iovisor,,
IoTivity,https://www.iotivity.org,https://github.com/iotivity,,
JanusGraph,http://janusgraph.org,https://github.com/JanusGraph/janusgraph,,
JS Foundation,https://js.foundation,https://github.com/JSFoundation,,
Kinetic Open Storage,https://www.openkinetic.org,https://github.com/Kinetic,,
Kubernetes,https://kubernetes.io,https://github.com/kubernetes,,
Let’s Encrypt,https://letsencrypt.org,https://github.com/letsencrypt,,
Linkerd,https://linkerd.io,https://github.com/linkerd,,
Linux,https://www.linuxfoundation.org/projects/linux/,https://github.com/torvalds/linux,,poszukaj wszelkich plikow z linux w nazwie z velocity
Linux Standard Base,https://wiki.linuxfoundation.org/lsb/start,https://github.com/LinuxStandardBase,,tam sa skrytpty co szacuja dane dla linuxa uzywajac LKMA
Node.js Foundation,https://nodejs.org/en/,https://github.com/nodejs,,Linux Kernel mail Archives
ODPi,https://www.odpi.org,https://github.com/odpi,,
ONOS,http://onosproject.org,https://github.com/opennetworkinglab/onos,,
Open Accessibility (A11y) Group,http://onosproject.org,https://github.com/brunopulis/awesome-a11y,,
Open API Initiative,https://www.openapis.org,https://github.com/OAI,,
Open Container Initiative,https://www.opencontainers.org,https://github.com/opencontainers,,
Open Mainframe Project,https://www.openmainframeproject.org,https://github.com/openmainframeproject,,
Open Network Automation Platform,https://www.onap.org,https://github.com/obrienlabs/onap-root,,
Open Printing,http://www.openprinting.org/,!!!,not found,
Open Security Controller,https://www.opensecuritycontroller.org,https://github.com/opensecuritycontroller,,
Open vSwitch,http://openvswitch.org,https://github.com/openvswitch,,
OpenChain Project,https://www.openchainproject.org,https://github.com/openchain,,
OpenDaylight,https://www.opendaylight.org,https://github.com/opendaylight,,
OpenHPC,http://openhpc.community,https://github.com/openhpc,,
OpenMAMA,http://www.openmama.org,https://github.com/OpenMAMA,,
OpenSDS,https://www.opensds.io,https://github.com/opensds,,
OpenSwitch,https://www.openswitch.net,https://github.com/open-switch,,
OpenTracing,http://opentracing.io,https://github.com/opentracing,,
OPNFV,https://www.opnfv.org,https://github.com/opnfv,,
PNDA,http://pnda.io,https://github.com/pndaproject,,
Prometheus,https://prometheus.io,https://github.com/prometheus,,
"R Consortium, Inc.",https://www.r-consortium.org,https://github.com/RConsortium,,
Real-Time Linux,https://wiki.linuxfoundation.org/realtime/start,https://github.com/ni/linux,,
RethinkDB,https://www.rethinkdb.com,https://github.com/rethinkdb,,
rkt,https://github.com/rkt/rkt,https://github.com/rkt/rkt,,
SNAS.io,http://www.snas.io,https://github.com/SNAS,,
Software Package Data Exchange,https://spdx.org,https://github.com/spdx,,
Tizen,https://www.tizen.org,https://github.com/Samsung/TizenRT,not sure,
TODO group,http://todogroup.org,https://github.com/todogroup,,
Xen Project,https://www.xenproject.org,https://github.com/xen-project,,
Yocto Project,https://www.yoctoproject.org,https://git.yoctoproject.org,not a github repo,
Zephyr Project,https://www.zephyrproject.org,https://github.com/zephyrproject-rtos,,
