org,repo,activity,comments,prs,commits,issues,authors,pushes,project,url
torvalds,linux,249316,210229,33150,39087,33150,3180,416,Linux,kernel.org
kubernetes+kubernetes-sigs+kubernetes-csi+kubernetes-client+kubernetes-security,website+kubernetes+test-infra+community+k8s.io+enhancements+kubespray+minikube+cluster-api+org+contributor-playground+ingress-nginx+kops+autoscaler+apiserver+kubectl+client-go+krew-index+external-dns+kustomize+cluster-api-provider-aws+apimachinery+sig-release+kind+aws-ebs-csi-driver+kubebuilder+controller-runtime+perf-tests+aws-load-balancer-controller+cluster-api-provider-azure+kube-state-metrics+cloud-provider-openstack+release+vsphere-csi-driver+image-builder+code-generator+docs+dashboard+secrets-store-csi-driver+aws-efs-csi-driver+cloud-provider-azure+descheduler+scheduler-plugins+kubefed+gateway-api+apiserver-network-proxy+cluster-api-provider-openstack+node-problem-detector+cli-experimental+external-snapshotter+python+cluster-api-provider-vsphere+javascript+azuredisk-csi-driver+gcp-compute-persistent-disk-csi-driver+cloud-provider-gcp+mount-utils+csharp+node-feature-discovery+python-base+windows-testing+external-provisioner+java+cluster-api-provider-gcp+cri-tools+blob-csi-driver+metrics-server+klog+ingress-gce+multi-tenancy+cloud-provider-aws+cluster-api-provider-digitalocean+csi-proxy+kubetest2+kubeadm+nfs-subdir-external-provisioner+sig-storage-local-static-provisioner+cluster-api-provider-nested+csi-release-tools+csi-driver-host-path+azurefile-csi-driver+security-profiles-operator+service-catalog+krew+external-resizer+kube-openapi+cloud-provider-vsphere+hierarchical-namespaces+cli-utils+wg-policy-prototypes+gen+external-attacher+csi-test+container-object-storage-interface-provisioner-sidecar+csi-driver-nfs+git-sync+kubebuilder-declarative-pattern+controller-tools+kpng+boskos+repo-infra+cluster-api-provider-ibmcloud+prometheus-adapter+dns+nfs-ganesha-server-and-external-provisioner+kompose+service-apis+container-object-storage-interface-controller+csi-driver-smb+steering+downloadkubernetes+cluster-api-provider-packet+e2e-framework+aws-fsx-csi-driver+structured-merge-diff+etcdadm+container-object-storage-interface-api+gcp-filestore-csi-driver+contributor-site+release-notes+release-utils+contributor-tweets+reference-docs+zeitgeist+publishing-bot+sig-storage-lib-external-provisioner+dashboard-metrics-scraper+haskell+container-object-storage-interface-spec+node-driver-registrar+work-api+node-feature-discovery-operator+aws-iam-authenticator+slack-infra+container-object-storage-interface-csi-adapter+utils+external-health-monitor+yaml+csi-driver-iscsi+windows-gmsa+apiserver-runtime+security+k8s-container-image-promoter+system-validators+depstat+alibaba-cloud-csi-driver+mcs-api+cluster-api-provider-kubemark+apiserver-builder-alpha+cluster-proportional-autoscaler+kube-storage-version-migrator+examples+externalip-webhook+network-policy-api+ruby+sig-windows-tools+kui+sig-usability+mdtoc+livenessprobe+contributor-site+cluster-capacity+kube-batch+c+kubebuilder-release-tools+ingress-controller-conformance+cloud-provider-alibaba-cloud+gengo+minibroker+legacy-cloud-providers+api+csi-lib-utils+cloud-provider+apiextensions-apiserver+kubelet+component-base+kube-aggregator+cli-runtime+csi-translation-lib+sample-apiserver+controller-manager+funding+kube-controller-manager+kube-proxy+sample-controller+kube-scheduler+sample-cli-plugin+metrics+volume-data-source-validator+component-helpers+cluster-bootstrap+custom-metrics-apiserver+cri-api+bootkube+cosi-driver-sample+cvelist-public+application+instrumentation-addons+ip-masq-agent+cluster-addons+aws-encryption-provider+sig-windows-dev-tools+drivers+cluster-registry+csi-lib-iscsi+cosi-driver-minio+csi-driver-image-populator+cloud-provider-huaweicloud+pod-security-admission+cluster-proportional-vertical-autoscaler+sig-windows-samples+instrumentation-tools+.github+kubectl-check-ownerreferences+cloud-provider-baiducloud+lib-volume-populator+go-open-service-broker-client+cluster-api-bootstrap-provider-kubeadm+poseidon+discuss-theme+sig-testing+perl+cluster-api-provider-docker+kubernetes-template-project+about-api+iptables-wrappers+.github+instrumentation+go+node-api,259009,200873,24896,27545,13471,2486,19769,Kubernetes,kubernetes.io
facebook+reactjs+react-native-community+airbnb,docusaurus+fbthrift+react-native+folly+hhvm+buck+react-native-website+litho+relay+jest+flipper+proxygen+reactjs.org+react+pyre-check+hermes+directory+flow+zh-hans.reactjs.org+openr+mcrouter+chef-cookbooks+zstd+redex+mysql-5.6+facebook-ios-sdk+fresco+tr.reactjs.org+infer+create-react-app+Ax+es.reactjs.org+watchman+fbt+facebook-android-sdk+openbmc+metro+duckling+ru.reactjs.org+idb+componentkit+sapp+cli+ent+fbzmq+IT-CPE+draft-js+yoga+ja.reactjs.org+TestSlide+ThreatExchange+prophet+react-modal+react-native-circleci-orb+react-tabs+homebrew-fb+react-docgen+jscodeshift+releases+react-transition-group+react-native-template-typescript+facebook-sdk-for-unity+SoLoader+taste-tester+facebook-ruby-business-sdk+facebook-nodejs-business-sdk+boost-for-react-native+server-components-demo+instant-articles-builder+react-rails+upgrade-helper+wdt+facebook-java-business-sdk+fbjs+docker-android+facebook-instant-articles-sdk-php+prop-types+PathPicker+rn-diff-purge+screenshot-tests-for-android+react-dates+regenerator+stetho+fbtftp+jsc-android-buildscripts+shimmer-android+hooks+chisel+fetch+react-native-fbsdk+pcicrawler,61777,30928,4541,21052,4615,1882,21693,React,facebook.com
Homebrew,homebrew-cask+homebrew-core+linuxbrew-core+homebrew-cask-versions+homebrew-cask-drivers+homebrew-cask-fonts+brew+homebrew-bundle+homebrew-test-bot+brew.sh+install+formulae.brew.sh+actions+homebrew-services+homebrew-command-not-found+ruby-macho+homebrew-autoupdate+homebrew-formula-analytics+homebrew-governance+homebrew-aliases+homebrew-json,92559,29518,25727,36125,1057,1854,36257,Homebrew,brew.sh
pytorch,pytorch+vision+audio+tutorials+text+glow+csprng+fairseq+nestedtensor+FBGEMM+ignite+serve+pytorch.github.io+benchmark+kineto+xla+botorch+builder+opacus+captum+test-infra+hub+tensorpipe+examples+pytorch_sphinx_theme+ort+pytorch-ci-hud+elastic+torchx+pytorch-probot+rfcs+ios-demo-app+hydra-torch+android-demo-app,139058,62924,11392,25607,5078,1634,59664,pytorch,pytorch.org
frontierdotxyz,frontier-chain-testnets+frontier-chain,3755,55,1952,1738,8,1621,1740,Frontier,frontier.xyz
NixOS,nixpkgs+nix+nixos-hardware+hydra+nixos-homepage+cabal2nix+nixos-weekly+mobile-nixos+nixos-search+ofborg+nixops+nixos-org-configurations+patchelf+nix-pills+nix-mode+nixops-aws+nixos-status+nixos-channel-scripts+nix-idea+rfc-steering-committee+docker+flake-registry,124006,81193,17660,19284,2849,1567,22304,NixOS,nixos.org
dotnet,runtime+runtimelab+docs+aspnetcore+dotnet-api-docs+AspNetCore.Docs+sdk+arcade+installer+versions+EntityFramework.Docs+efcore+msbuild+maui+fsharp+roslyn-analyzers+docfx+winforms+iot+wpf+tye+command-line-api+performance+diagnostics+samples+csharplang+project-system+net6-mobile-samples+templating+interactive+AspNetDocs+xharness+machinelearning+wcf+core+roslyn-tools+roslyn-sdk+BenchmarkDotNet+Silk.NET+dotnet-buildtools-prereqs-docker+try-convert+windowsdesktop+upgrade-assistant+SqlClient+Microsoft.Maui.Graphics+dotnet-monitor+dotnet-docker+install-scripts+format+docs-desktop+test-templates+Nerdbank.GitVersioning+spark+extensions+crank+source-build+templates+interactive-window+csharpstandard+jitutils+AspNetApiDocs+Scaffolding+orleans-docs+symstore+maui-samples+sourcelink+infer+machinelearning-samples+symreader+deployment-tools+symreader-converter+project-system-tools+csharp-tmLanguage+hotreload-utils+Comet+NuGet.BuildTasks+pinvoke+HttpRepl+xdt+docs.pl-pl+docs-maui+CliCommandLineParser+corefxlab+arcade-extensions+Docker.DotNet+ef6+buildtools+docs-actions+xliff-tasks+SignService+org-policy+reactive+MobileBlazorBindings+nuget-trends+ResXResourceManager+metadata-tools+datalab+try-samples+cli-lab+docs.tr-tr+docs.ja-jp+docs.ru-ru+insertions-client+try+roslyn-api-docs+issue-labeler+docs.zh-tw+docs.zh-cn+docs.ko-kr+reproducible-builds+docs.fr-fr+docs.pt-br+EntityFramework.ApiDocs+System.Graphics+nbgv+AspNetCore.Docs.it-it+docker-tools+versionsweeper+cssparser+AspNetCore.Docs.pt-br+GraphicsControls+AspNetCore.Docs.zh-cn+AspNetCore.Docs.ja-jp+machinelearning-modelbuilder+DataGridExtensions+AspNetCore.Docs.zh-tw+AspNetCore.Docs.ru-ru+AspNetCore.Docs.tr-tr+AspNetCore.Docs.de-de+Kerberos.NET+vscode-dotnet-pack+ef6tools+vscode-dotnet-runtime+EntityFramework.Docs.fr-fr+EntityFramework.Docs.zh-cn+EntityFramework.Docs.ru-ru+source-indexer+winforms-datavisualization,245968,150464,16507,56000,17137,1507,61860,dotnet,microsoft.com/net
DefinitelyTyped,DefinitelyTyped+dt-mergebot+dts-critic,19002,12413,3374,2856,346,1370,2869,DefinitelyTyped,definitelytyped.org
trustwallet,assets+wallet-core+developer+golibs+blockatlas+watchmarket+trust-web3-provider+wallet-connect-kotlin+wallet-connect-swift+TrustSDK-iOS+TrustSDK-Android,19705,7683,5855,5723,348,1321,5819,TrustWallet,trustwallet.com
tensorflow,tensorflow+models+tfjs+datasets+tfx+probability+runtime+serving+mlir-hlo+addons+agents+federated+lingvo+tensorboard+text+model-optimization+community+tflite-micro+tflite-support+tfhub.dev+quantum+cloud+io+privacy+lucid+graphics+model-analysis+mesh+profiler+hub+java+recommenders+fairness-indicators+neural-structured-learning+build+decision-forests+recommenders-addons+transform+ranking+tpu+model-card-toolkit+ngraph-bridge+tfx-addons+swift+swift-models+data-validation+benchmarks+rust+tcav+tensor2tensor+tensorrt+moonlight+haskell+minigo+compression+java-models+metadata+tfjs-wechat+lattice+ecosystem,78251,39802,4701,23596,4948,1121,28800,TensorFlow,tensorflow.org
rust-lang+mozilla+rust-lang-nursery,rust+this-week-in-rust+rust-clippy+cargo+libc+wg-async-foundations+rustc-dev-guide+team+rustlings+reference+rfcs+rustfmt+blog.rust-lang.org+rustup+stdarch+mdBook+miri+book+rust-by-example+git2-rs+crates.io+futures-rs+docs.rs+rust-bindgen+www.rust-lang.org+rust-forge+highfive+chalk+hashbrown+socket2+rustc-perf+glacier+nomicon+rls+crates-build-env+rust-semverver+triagebot+compiler-team+stdsimd+compiler-builtins+foundation.rust-lang.org+backtrace-rs+async-book+regex+mp4parse-rust+packed_simd+arewewebyet+std-dev-guide+const-eval+rust-cookbook+project-const-generics+flate2-rs+libz-sys+crater+measureme+polonius+discord-mods-bot+unsafe-code-guidelines+log+libs-team+lang-team+edition-guide+cargo-bisect-rustc+project-error-handling+wg-traits+api-guidelines+rustup-components-history+homu+rustfix+libm+project-thir-unsafeck+monitorbot+rust-mode+stacker+release-team+pin-utils+simpleinfra+docker-rust+thanks+geckodriver+atom-ide-rust+lazy-static.rs+annotate-snippets-rs+rust-enhanced+wg-allocators+wg-cargo-std-aware+vscode-rust+getopts+rfcbot-rs+rust.vim,115319,93091,7470,7930,4935,1069,9823,Rust,rust-lang.org
