org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator,kubernetes+test-infra+kubernetes.github.io+dashboard+charts+kargo+helm+minikube,11668,9036,1274,632,726,185,Kubernetes,kubernetes.io
Microsoft+dotnet,vscode+roslyn+vsts-tasks+roslyn-project-system+vcpkg,10545,7116,611,1037,1781,134,VS Code,code.visualstudio.com
dotnet,corefx+coreclr+cli+docs+docfx+sdk+corefxlab+corert+core+buildtools,9662,6754,1104,1080,724,222,dotnet,microsoft.com/net
angular+AngularClass,angular+angular-cli+material2+angular.js+angular.io+material+angular2-webpack-starter+protractor,7691,5362,640,570,1119,163,Angular,angular.io
docker,docker+docker.github.io+distribution,6341,4823,681,279,558,106,Docker,mobyproject.org
elastic,elasticsearch+kibana+beats,5734,3409,641,1064,620,99,Elasticsearch,elastic.co/products/elasticsearch
department-of-veterans-affairs,vets-website+vets-api+caseflow,4965,1615,475,2569,306,73,Department of Veterans Affairs,va.gov
Azure,azure-cli+azure-webjobs-sdk-script+azure-rest-api-specs+azure-iot-sdks+azure-powershell+autorest+azure-quickstart-templates+azure-sdk-for-net+azure-xplat-cli,4751,2911,597,739,504,221,Azure,azure.github.io
ansible,ansible+ansible-modules-core+ansible-modules-extras,4732,3153,537,588,454,184,Ansible,ansible.com
Automattic,wp-calypso,4641,2092,460,1840,249,105,WP Calypso,developer.wordpress.com/calypso
tensorflow,tensorflow,4179,3278,259,192,450,96,TensorFlow,tensorflow.org
vmware,vic+docker-volume-vsphere+harbor+clarity,4092,2564,401,648,479,71,VMware,vmware.github.io
NixOS,nixpkgs,4029,2293,582,950,204,221,NixOS,nixos.org
driftyco,ionic+ionic-app-scripts+ionic-site+ionic-native,3969,2571,152,620,626,79,Ionic,ionicframework.com
eclipse,che+smarthome+jetty.project+omr+kura,3859,2111,392,961,395,102,Eclipse,eclipse.org
tgstation,tgstation,3711,3101,362,103,145,34,SS13,tgstation13.org
mozilla,testpilot+addons-server+donate.mozilla.org+addons-frontend,3463,1273,248,1664,278,228,Mozilla,mozilla.org
ManageIQ,manageiq,3456,2230,727,431,68,92,ManageIQ,manageiq.org
ethcore,parity,3043,963,309,1412,359,23,Parity,github.com/paritytech/parity
aspnet,EntityFramework+Mvc+Docs+SignalR,2844,1770,228,519,327,61,ASP.net,asp.net
DefinitelyTyped,DefinitelyTyped,2825,1626,510,567,122,326,DefinitelyTyped,definitelytyped.org
cockroachdb,cockroach,2783,1398,194,246,945,29,Cockroach DB,cockroachlabs.com
palantir,atlasdb+blueprint+tslint,2776,1140,285,1124,227,85,Palantir Technologies,palantir.com
mapbox,mapbox-gl-native+mapbox-gl-js,2756,1266,247,952,291,49,Mapbox,mapbox.com
Microsoft,TypeScript,2582,1629,154,387,412,19,TypeScript,typescriptlang.org
Homebrew,homebrew-core+homebrew-science+homebrew-php,2540,1527,557,346,110,161,Homebrew,brew.sh
hashicorp,terraform,2513,1702,237,194,380,38,HashiCorp Terraform,terraform.io
