key,value
activity,1867455
comments,1147212
prs,286552
commits,263123
issues,138449
authors,17783
pushes,295242
activity/comments,1.6278
activity/prs,6.517
activity/commits,7.0973
activity/issues,13.4884
activity/authors,105.0135
activity/pushes,6.3252
comments/activity,0.6143
comments/prs,4.0035
comments/commits,4.36
comments/issues,8.2862
comments/authors,64.5117
comments/pushes,3.8857
prs/activity,0.1534
prs/comments,0.2498
prs/commits,1.089
prs/issues,2.0697
prs/authors,16.1138
prs/pushes,0.9706
commits/activity,0.1409
commits/comments,0.2294
commits/prs,0.9182
commits/issues,1.9005
commits/authors,14.7963
commits/pushes,0.8912
issues/activity,0.0741
issues/comments,0.1207
issues/prs,0.4832
issues/commits,0.5262
issues/authors,7.7855
issues/pushes,0.4689
authors/activity,0.0095
authors/comments,0.0155
authors/prs,0.0621
authors/commits,0.0676
authors/issues,0.1284
authors/pushes,0.0602
pushes/activity,0.1581
pushes/comments,0.2574
pushes/prs,1.0303
pushes/commits,1.1221
pushes/issues,2.1325
pushes/authors,16.6025
