org,repo,activity,comments,prs,commits,issues,authors_alt2,authors_alt1,authors
kata-containers,kata-containers/runtime,4907,3412,559,250,686,111,"88plug,abdennour,Ace-Tang,AlanWarwick,alebourdoulous,alicefr,amshinde,annabellebertooch,anthonyzxu,batarian71,bekars,bergwolf,BetaXOi,bfields,borntraeger,CaesarLXL,caoruidong,chavafg,chenxumsft,ChristophSGR,clarecch,coos,crosbymichael,devimc,dungeonmaster18,eadamsintel,egernst,eguzman3,enzian,flx42,fredbcode,free2k,Gabasjob,GabyCT,gkennedy12,gnawux,gnodli,grahamwhaley,greg-hydrogen,greg-jablonski,guangxuli,hanwei1990,harche,hex2a,hongbin,hwinkel,introllo,jamiehannaford,jcvenegas,jessfraz,jingxiaolu,jiulongzaitian,johnj,jon,jshachm,katabuilder,keloyang,kfox1111,Kuvesz,laijs,lifupan,linxiulei,linzichang,liujing2,liwei,lizk1989,malc0lm,marcov,markdryan,maximilianriemensberger,m-barthelemy,mcastelino,miaoyq,miguelmota,mmgaggle,mnaser,morph027,mpe,n3wt0nSAN,navidshaikh,ningbo9,nitkon,PatrickLang,Pennyzct,peterfang,raravena80,reallinfo,resouer,sameo,sboeuf,srcman,stefanha,svarlamov,t3hmrman,tallclair,teawater,vbatts,vladostp,weekface,Weichen81,WeiZhang555,woshijpf,wuqixuan,wwq19920405,xindazhao,xuliker,xzr,ydjainopensource,ygefen,ZeroMagic,zhiminghufighting","88plug,abdennour,Ace-Tang,AlanWarwick,alebourdoulous,alicefr,amshinde,annabellebertooch,anthonyzxu,batarian71,bekars,bergwolf,BetaXOi,bfields,borntraeger,CaesarLXL,caoruidong,chavafg,chenxumsft,ChristophSGR,clarecch,coos,crosbymichael,devimc,dungeonmaster18,eadamsintel,egernst,eguzman3,enzian,flx42,fredbcode,free2k,Gabasjob,GabyCT,gkennedy12,gnawux,gnodli,grahamwhaley,greg-hydrogen,greg-jablonski,guangxuli,hanwei1990,harche,hex2a,hongbin,hwinkel,introllo,jamiehannaford,jcvenegas,jessfraz,jingxiaolu,jiulongzaitian,johnj,jon,jshachm,katabuilder,keloyang,kfox1111,Kuvesz,laijs,lifupan,linxiulei,linzichang,liujing2,liwei,lizk1989,malc0lm,marcov,markdryan,maximilianriemensberger,m-barthelemy,mcastelino,miaoyq,miguelmota,mmgaggle,mnaser,morph027,mpe,n3wt0nSAN,navidshaikh,ningbo9,nitkon,PatrickLang,Pennyzct,peterfang,raravena80,reallinfo,resouer,sameo,sboeuf,srcman,stefanha,svarlamov,t3hmrman,tallclair,teawater,vbatts,vladostp,weekface,Weichen81,WeiZhang555,woshijpf,wuqixuan,wwq19920405,xindazhao,xuliker,xzr,ydjainopensource,ygefen,ZeroMagic,zhiminghufighting"
kata-containers,kata-containers/documentation,837,468,152,72,145,53,"adrianschroeter,amshinde,annabellebertooch,bergwolf,caoruidong,cboylan,chavafg,coolsvap,davidstrauss,devimc,eadamsintel,egernst,GabyCT,gnawux,grahamwhaley,intelkevinputnam,it2911,jcvenegas,JerryOpenix,jon,jshachm,junxiaocne,klynnrif,liubin,liucimin,maniankara,marcov,mcgrof,mnaser,morph027,n3wt0nSAN,netuzero,nitkon,OGtrilliams,Pennyzct,pnunn,raravena80,rcaballeromx,robcresswell,sboeuf,scooley,sfabel,swsyes,ttx,vizdrag561,vrothberg,Weichen81,WeiZhang555,xindazhao,xzr,ydjainopensource,yuzhongwei,zeigerpuppy","adrianschroeter,amshinde,annabellebertooch,bergwolf,caoruidong,cboylan,chavafg,coolsvap,davidstrauss,devimc,eadamsintel,egernst,GabyCT,gnawux,grahamwhaley,intelkevinputnam,it2911,jcvenegas,JerryOpenix,jon,jshachm,junxiaocne,klynnrif,liubin,liucimin,maniankara,marcov,mcgrof,mnaser,morph027,n3wt0nSAN,netuzero,nitkon,OGtrilliams,Pennyzct,pnunn,raravena80,rcaballeromx,robcresswell,sboeuf,scooley,sfabel,swsyes,ttx,vizdrag561,vrothberg,Weichen81,WeiZhang555,xindazhao,xzr,ydjainopensource,yuzhongwei,zeigerpuppy"
kata-containers,kata-containers/agent,2166,1371,354,168,273,44,"amshinde,basheerk,bergwolf,BetaXOi,caoruidong,chavafg,clarecch,Demuxx,devimc,eadamsintel,egernst,eguzman3,flx42,GabyCT,gnawux,grahamwhaley,harche,jcvenegas,jingxiaolu,Jodh,jon,jshachm,keloyang,laijs,lifupan,linzichang,liwei,liyingjun,marcov,markdryan,mcastelino,miaoyq,nitkon,Pennyzct,raravena80,rcaballeromx,runcom,sameo,sboeuf,stefanha,teawater,vbmade2000,WeiZhang555,ydjainopensource","amshinde,basheerk,bergwolf,BetaXOi,caoruidong,chavafg,clarecch,Demuxx,devimc,eadamsintel,egernst,eguzman3,flx42,GabyCT,gnawux,grahamwhaley,harche,jcvenegas,jingxiaolu,Jodh,jon,jshachm,keloyang,laijs,lifupan,linzichang,liwei,liyingjun,marcov,markdryan,mcastelino,miaoyq,nitkon,Pennyzct,raravena80,rcaballeromx,runcom,sameo,sboeuf,stefanha,teawater,vbmade2000,WeiZhang555,ydjainopensource"
kata-containers,kata-containers/tests,3258,1688,615,306,649,38,"amshinde,basheerk,bergwolf,caoruidong,cboylan,chandrabvv,chavafg,clarecch,dagrh,devimc,DnPlas,egernst,erick0z,fungi,GabyCT,gnawux,grahamwhaley,gtkramer,intelkevinputnam,jberkus,jcvenegas,jon,kalyxin02,katabuilder,klynnrif,lifupan,liwei,marcov,nitkon,Pennyzct,raravena80,rcaballeromx,sameo,sboeuf,Weichen81,WeiZhang555,wwq19920405,ydjainopensource","amshinde,basheerk,bergwolf,caoruidong,cboylan,chandrabvv,chavafg,clarecch,dagrh,devimc,DnPlas,egernst,erick0z,fungi,GabyCT,gnawux,grahamwhaley,gtkramer,intelkevinputnam,jberkus,jcvenegas,jon,kalyxin02,katabuilder,klynnrif,lifupan,liwei,marcov,nitkon,Pennyzct,raravena80,rcaballeromx,sameo,sboeuf,Weichen81,WeiZhang555,wwq19920405,ydjainopensource"
kata-containers,kata-containers/packaging,928,518,170,76,164,33,"ajaeger,alicefr,amshinde,bergwolf,bilang,caoruidong,cboylan,chavafg,devimc,DnPlas,egernst,eguzman3,erick0z,GabyCT,gkennedy12,gnawux,grahamwhaley,jcvenegas,jshachm,lsm5,marcov,markdryan,mcastelino,mrguitar,nitkon,Pennyzct,raravena80,sboeuf,Weichen81,WeiZhang555,xindazhao,xzr,ydjainopensource","ajaeger,alicefr,amshinde,bergwolf,bilang,caoruidong,cboylan,chavafg,devimc,DnPlas,egernst,eguzman3,erick0z,GabyCT,gkennedy12,gnawux,grahamwhaley,jcvenegas,jshachm,lsm5,marcov,markdryan,mcastelino,mrguitar,nitkon,Pennyzct,raravena80,sboeuf,Weichen81,WeiZhang555,xindazhao,xzr,ydjainopensource"
kata-containers,kata-containers/community,224,130,41,25,28,33,"amshinde,annabellebertooch,bergwolf,brecky777,broady,caoruidong,chavafg,egernst,fungi,gnawux,grahamwhaley,intelkevinputnam,jberkus,jbryce,jcvenegas,jessfraz,jon,kalyxin02,kat,klynnrif,laijs,lsell,mrhillsman,mytototo,nitkon,raravena80,sameo,sboeuf,sjug,tallclair,ttx,WeiZhang555,zeigerpuppy","amshinde,annabellebertooch,bergwolf,brecky777,broady,caoruidong,chavafg,egernst,fungi,gnawux,grahamwhaley,intelkevinputnam,jberkus,jbryce,jcvenegas,jessfraz,jon,kalyxin02,kat,klynnrif,laijs,lsell,mrhillsman,mytototo,nitkon,raravena80,sameo,sboeuf,sjug,tallclair,ttx,WeiZhang555,zeigerpuppy"
openstack-kr,openstack-kr/contributhon-2018-knu,239,29,133,48,29,32,"8chDP,bestday-ing,Choi-Sung-Hoon,dbdbdb156,dheldh77,Donghoon759,Dong-wook94,dst02030,fairy-of-9,gaki2745,ggoogoo,ianychoi,JamesKim123,JieonLee,jjoo39,joyfulgrace3,Ktaewon,l4111kl,LemonDouble,makeastir,minkukjo,post6393,sijune,sonjminju,sooohh6,suy427,vanilet,yongtaecheon,yoo-jaein,yunhacho,YunSeoWon,zwei2","8chDP,bestday-ing,Choi-Sung-Hoon,dbdbdb156,dheldh77,Donghoon759,Dong-wook94,dst02030,fairy-of-9,gaki2745,ggoogoo,ianychoi,JamesKim123,JieonLee,jjoo39,joyfulgrace3,Ktaewon,l4111kl,LemonDouble,makeastir,minkukjo,post6393,sijune,sonjminju,sooohh6,suy427,vanilet,yongtaecheon,yoo-jaein,yunhacho,YunSeoWon,zwei2"
kata-containers,kata-containers/osbuilder,733,444,123,52,114,30,"amshinde,bergwolf,caoruidong,chavafg,ColinIanKing,devimc,DnPlas,egernst,erick0z,GabyCT,grahamwhaley,harche,houstar,jcvenegas,JerryOpenix,jvoorhis,klynnrif,liangchenye,liyingjun,marcov,nirmoy,nitkon,Pennyzct,rcaballeromx,sameo,sboeuf,stefanha,WeiZhang555,ydjainopensource,ygefen","amshinde,bergwolf,caoruidong,chavafg,ColinIanKing,devimc,DnPlas,egernst,erick0z,GabyCT,grahamwhaley,harche,houstar,jcvenegas,JerryOpenix,jvoorhis,klynnrif,liangchenye,liyingjun,marcov,nirmoy,nitkon,Pennyzct,rcaballeromx,sameo,sboeuf,stefanha,WeiZhang555,ydjainopensource,ygefen"
kata-containers,kata-containers/proxy,480,273,107,48,52,29,"aduenasd,amshinde,basheerk,bergwolf,caoruidong,cboylan,chavafg,codecov-io,coolsvap,devimc,egernst,gnawux,grahamwhaley,jcvenegas,jshachm,kalyxin02,laijs,liyingjun,marcov,mnaser,nitkon,raravena80,rcaballeromx,sameo,sboeuf,shuquan,teawater,WeiZhang555,ydjainopensource","aduenasd,amshinde,basheerk,bergwolf,caoruidong,cboylan,chavafg,codecov-io,coolsvap,devimc,egernst,gnawux,grahamwhaley,jcvenegas,jshachm,kalyxin02,laijs,liyingjun,marcov,mnaser,nitkon,raravena80,rcaballeromx,sameo,sboeuf,shuquan,teawater,WeiZhang555,ydjainopensource"
kata-containers,kata-containers/ci,281,176,35,16,54,24,"ajaeger,cboylan,chavafg,devimc,egernst,emonty,GabyCT,gnawux,grahamwhaley,jcvenegas,jessfraz,jongwu,kalyxin02,marcov,mnaser,mrhillsman,nitkon,Pennyzct,qnetter,sboeuf,vielmetti,Weichen81,WeiZhang555,ydjainopensource","ajaeger,cboylan,chavafg,devimc,egernst,emonty,GabyCT,gnawux,grahamwhaley,jcvenegas,jessfraz,jongwu,kalyxin02,marcov,mnaser,mrhillsman,nitkon,Pennyzct,qnetter,sboeuf,vielmetti,Weichen81,WeiZhang555,ydjainopensource"
